Sample_ID,Species_Type,Species_Name,Count,Canopy_Cover (%),Tree_Height (m),Soil_PH,Avg_Temperature (°C),Rainfall_mm,Year,Region,CO2_Sequestration (kg),Biodiversity_Index,Observation_Remarks
1,Fauna,Bengal Tiger,51,71,27.6,6.5,28.3,1723,2021,East,1796.3,0.84,Endangered Species
2,Fauna,Elephant,77,70.7,22.5,7,26.1,1716,2021,East,2455,0.77,Common Herbivore
3,Flora,Banyan Tree,9,80.6,14.9,7.2,29.9,2419,2017,East,2345.7,0.9,Common Herbivore
4,Fauna,Banyan Tree,29,77.5,15,7.3,29.5,1809,2023,East,1272.9,0.81,Common Herbivore
5,Flora,Banyan Tree,14,79.6,22,6.8,28.3,2056,2021,East,1291.9,0.84,Common Herbivore
6,Fauna,Mango Tree,95,72.9,10.7,6.5,28.2,1659,2022,East,1317.7,0.83,Common Herbivore
7,Flora,Indian Jackal,5,88,24.1,6.6,27.5,2294,2023,East,1047.1,0.9,High Canopy Density
8,Fauna,Teak Tree,20,92.3,11.6,6.8,25.7,2041,2019,East,1865.9,0.94,High Canopy Density
9,Fauna,Mango Tree,36,69.2,20.2,7.3,23.5,1829,2021,East,2158.4,0.88,Common Herbivore
10,Flora,Python,30,62.2,24.5,6.6,23.1,1581,2019,East,1380.4,0.75,Common Herbivore
11,Flora,Peacock,98,67,11.3,7.5,25.8,2283,2019,East,1384.7,0.73,Migratory bird
12,Fauna,Spotted Deer,33,68.1,25.5,7.4,27.3,1757,2016,East,1368,0.71,Common Herbivore
13,Fauna,Indian Jackal,81,72.6,10.9,6.1,23,1599,2023,East,1649.2,0.78,Common Herbivore
14,Fauna,Peacock,17,85.9,12.8,6.1,24.9,2354,2020,East,2419,0.78,Migratory bird
15,Flora,Mango Tree,8,74.4,10.8,7,29.2,1707,2016,East,1365,0.84,Common Herbivore
16,Fauna,Spotted Deer,95,67.3,20.6,6.6,25.7,1823,2022,East,2249.2,0.89,Common Herbivore
17,Fauna,Banyan Tree,99,77.3,25.2,6.9,29.9,2497,2019,East,1663.9,0.87,Common Herbivore
18,Fauna,Elephant,56,77.7,17,6.9,29.8,1643,2015,East,1384.8,0.89,Common Herbivore
19,Fauna,Spotted Deer,90,75.9,23.7,6.5,27.5,2360,2023,East,1393.3,0.74,Common Herbivore
20,Flora,Python,69,85.1,22.5,6.6,25.8,2064,2021,East,1325.6,0.71,High Canopy Density
